,Name,Author,Pub Year,ISBN-13,Publisher,Imprint Publisher,BookType,Primary Genre,Genres,Fiction / non-fiction,Series,Volume,Unit Price,Page number,Language,Read by Stinky,Read by Matt,QTY,To/From,surname,page_number_group,price,Primary Genre numerical
13,Red Queen,Victoria Aveyard,2015,9781409150725,Hachette,Orion,Paperback,Young Adult,"Young Adult, Fantasy",Fiction,Red Queen,1,7.99,388,English,1,0,1,,Aveyard,300-400,£8-£10,9
14,13 Ways of Looking at a Fat Girl,Mona Awad,2020,9781789540826,Bloomsbury,Head Of Zeus,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,8.99,238,English,0,0,1,,Awad,200-300,£8-£10,0
15,"October, October",Katya Balen,2020,9781526601902,Bloomsbury,Bloomsbury Childrens Books,Paperback,Childrens & Teenage,"Middle Grade, Family & Home",Fiction,,,6.99,290,English,0,0,1,,Balen,200-300,<£8,10
16,Voices of the Lost,Hoda Barakat,2021,9781786077226,Oneworld Publications,Oneworld Publications,Paperback,Modern & Contemporary Fiction,Fiction In Translation,Fiction,,,12.99,197,English,0,0,1,,Barakat,100-200,£12+,0
17,This Wicked Fate,Kalynn Bayron,2022,9781526650726,Bloomsbury,Bloomsbury Ya,Paperback,Young Adult,"Young Adult, Fantasy Romance",Fiction,This Poison Heart,2,7.99,307,English,0,0,1,,Bayron,300-400,£8-£10,9
18,Alex's Adventures in Numberland,Alex Bellos,2011,9781408809594,Bloomsbury,Bloomsbury,Paperback,Popular Science,Mathematics,Non-Fiction,,,8.99,448,English,0,0,1,,Bellos,400-500,£8-£10,13
19,The Peace of Wild Things,Wendell Berry,2018,9780141987125,Penguin Random House,Penguin Books,Paperback,Poetry,Poetry,Fiction,,,8.99,134,English,0,0,1,,Berry,100-200,£8-£10,6
20,What Color is Your Parachute?,Richard N. Bolles,2021,9781984857866,Penguin Random House,Ten Speed Press,Paperback,Careers,"Economics, Careers",Non-Fiction,,,15.99,343,English,0,0,1,,Bolles,300-400,£12+,22
21,Wuthering Heights,Emily Bronte,1995,9780141439556,Penguin Random House,Penguin,Paperback,Classic Fiction,Classic Fiction,Fiction,,,4.99,353,English,1,0,1,,Bronte,300-400,<£8,4
22,Toffee,Sarah Crossan,2019,9781526613943,Bloomsbury,Bloomsbury Ya,Proof,Childrens & Teenage,Childrens And Teenage,Fiction,,,,400,English,0,0,1,,Crossan,400-500,,10
23,Tomorrow is Beautiful,Sarah Crossan,2021,9781526641892,Bloomsbury,Bloomsbury Ya,Hardback,Poetry,Poetry,Fiction,,,12.99,265,English,0,0,1,,Crossan,200-300,£12+,6
24,Vox,Christina Dalcher,2019,9780008300678,Harper Collins,Hq,Paperback,Modern & Contemporary Fiction,"Thrillers, Fantasy, Modern And Contempary Fiction",Fiction,,,8.99,388,English,0,0,1,,Dalcher,300-400,£8-£10,0
25,The Selfish Gene,Richard Dawkins,1989,9780199291151,Oxford University Press,Oxford University Press,Paperback,Popular Science,"Popular Science, Mathematics, Evolution, Biology And Life Sciences",Non-Fiction,,,8.99,359,English,0,0,1,,Dawkins,300-400,£8-£10,13
26,The start of something,Miranda Dickinson,2022,9780008440756,Harper Collins,Hq,Paperback,Romance,"Thriller, Contempary Romance",Fiction,,,8.99,391,English,1,0,1,,Dickinson,300-400,£8-£10,3
27,No Life for a Lady,Hannah Dolby,2023,9781804544365,Bloomsbury,Head Of Zeus,Proof,Historical Fiction,"Historical Romance, Historical Fiction",Fiction,,,16.99,355,English,1,0,1,,Dolby,300-400,£12+,11
28,A visible Man,Edward Enninful,2022,9781526641540,Bloomsbury,Bloomsbury,Proof,Memoirs,"Memoirs, Biography And True Stories, Fashion And Beauty, Career",Non-Fiction,,,,275,English,1,0,1,,Enninful,200-300,,19
29,"girl, woman, other",Bernardine Evaristo,2019,9780241984994,Penguin Random House,Penguin,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,8.99,453,English,0,0,1,,Evaristo,400-500,£8-£10,0
30,Settlers,Jimi Famurewa,2022,9781472991577,Bloomsbury,Bloomsbury Continuum,Proof,History,"Social And Cultural History, Society And Culture",Non-Fiction,,,,290,English,0,0,1,,Famurewa,200-300,,17
31,Nothing Special,Nicole Flattery,2023,9781526612137,Bloomsbury,Bloomsbury,Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,,230,English,1,0,1,,Flattery,200-300,,0
32,The Story of Russia,Orlando Figes,2022,9781526631763,Bloomsbury,Bloomsbury,Trade Paperback,History,"History, Russian Revolution",Non-Fiction,,,14.99,348,English,0,0,1,,Figes,300-400,£12+,17
33,The Guest List,Lucy Foley,2020,9780008297190,Harper Collins,,Paperback,Crime & Mystery,"Crime, Thriller",Fiction,,,8.99,375,English,1,1,1,,Foley,300-400,£8-£10,2
34,Heroes,Stephen Fry,2019,9781405940368,Penguin Random House,Penguin Books,Paperback,Myths & Legends,Classical Mythology,Fiction,Stephen Frys Greek Myths,2,8.99,475,English,0,0,1,,Fry,400-500,£8-£10,12
35,Troy,Stephen Fry,2021,9781405944465,Penguin Random House,Penguin Books,Paperback,Myths & Legends,Classical Mythology,Fiction,Stephen Frys Greek Myths,3,10.99,411,English,0,0,1,,Fry,400-500,£10-£12,12
36,Mrs. Harris Goes to Paris,Paul Gallico,2022,9781526646620,Bloomsbury,,Paperback,Classic Fiction,Classic Fiction,Fiction,Mrs. Arris,1,8.99,306,English,0,0,1,,Gallico,300-400,£8-£10,4
37,Eat Pray Love,Elizabeth Gilbert,2007,9780747585664,Bloomsbury,,Paperback,Memoirs,"General Autobiography, Travel Writing",Non-Fiction,,,9.99,349,English,0,0,1,,Gilbert,300-400,£10-£12,19
38,City of Girls,Elizabeth Gilbert,2020,9781526619808,Bloomsbury,,Paperback - A Format,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Historical Fiction",Fiction,,,6.99,495,English,0,0,1,,Gilbert,400-500,<£8,0
39,Afterlives,Abdulrazak Gurnah,2021,9781526615893,Bloomsbury,,Paperback,Modern & Contemporary Fiction,War & Combat Fiction,Fiction,,,8.99,275,English,0,0,1,,Gurnah,200-300,£8-£10,0
40,Mischief Acts,Zoe Gilbert,2022,9781526628800,Bloomsbury,Bloomsbury Circus,Hardback,Historical Fiction,"Myths & Legends, Contemporary Historical Fiction",Fiction,,,17.99,432,English,0,0,2,,Gilbert,400-500,£12+,11
41,The Wind in The Willows,Kenneth Grahame,1994,9780140366853,Penguin Random House,Puffin Books,Paperback,Classic Fiction,Classic Childrens Fiction,Fiction,,,1.99,242,English,0,0,1,,Grahame,200-300,<£8,4
42,The Librairian of Auschwitz,Antonio Iturbe,2019,9781529104776,Penguin Random House,Ebury Press,Paperback,Historical Fiction,"Historical Fiction, Wwii",Fiction,,,8.99,445,English,0,0,1,,Iturbe,400-500,£8-£10,11
43,Never Greener,Ruth Jones,2018,9780593078075,Penguin Random House,Transworld,Trade Paperback,Romance,Romance,Fiction,,,12.99,403,English,1,0,1,,Jones,400-500,£12+,3
44,Summer at Sandcastle Cottage,Christina Jones,2021,9781786157287,Hachette,Headline,Paperback,Romance,Romance,Fiction,,,9.99,239,English,0,0,1,,Jones,200-300,£10-£12,3
45,At Certain Points We Touch,Lauren John Joseph,2022,9781526631305,Bloomsbury,Bloomsbury,Proof,Modern & Contemporary Fiction,"Modern And Contemporary Fiction, Lgbtq, Literary Fiction",Fiction,,,,370,English,0,0,1,,Joseph,300-400,,0
46,As Long As The Lemon Trees Grow,Zoulfa Katouh,2022,9781526648525,Bloomsbury,Bloomsbury,Proof,Young Adult,"Ya, Romance",Fiction,,,,415,English,1,0,1,,Katouh,400-500,,9
47,This is Going to Hurt,Adam Kay,2018,9781509858637,Pan Macmillan,Picador,Paperback,Memoirs,"Medical, Memoir",Non-Fiction,,,8.99,277,English,1,1,1,,Kay,200-300,£8-£10,19
48,Twas the Nightshift Before Christmas,Adam Kay,2019,9781529018585,Pan Macmillan,Picador,Hardback,Memoirs,"Medical, Memoir",Non-Fiction,,,9.99,143,English,0,0,1,,Kay,100-200,£10-£12,19
49,the sun and her flowers,Rupi Kaur,2017,9781471165825,Simon & Schuster,Simon & Schuster,Paperback,Poetry,Poetry,Fiction,,,12.99,248,English,0,0,1,,Kaur,200-300,£12+,6
50,milk and honey,Rupi Kaur,2015,9781449474256,Andrews Mcmeel Publishing,Andrews Mcmeel Publishing,Paperback,Poetry,Poetry,Fiction,,,9.99,204,English,1,0,1,,Kaur,200-300,£10-£12,6
51,Not A Wake,Michael Keith,2010,9780963009715,Vinculum Press,Vinculum Press,Paperback,Popular Science,Mathematics,Non-Fiction,,,,101,English,0,0,1,,Keith,100-200,,13
52,Forging Silver into Stars,Brigid Kemmerer,2022,9781526645746,Bloomsbury,Bloomsbury,Paperback,Young Adult,"Ya, Fantasy, Romance",Fiction,,,8.99,542,English,0,0,1,,Kemmerer,500-600,£8-£10,9
53,Defy the Night,Brigid Kemmerer,2021,9781526632807,Bloomsbury,Bloomsbury,Proof,Young Adult,"Ya, Fantasy, Romance",Fiction,Defy The Night,1,,448,English,1,1,1,,Kemmerer,400-500,,9
54,Defend the Dawn,Brigid Kemmerer,2022,9781526644626,Bloomsbury,Bloomsbury,Paperback,Young Adult,"Ya, Fantasy, Romance",Fiction,Defy The Night,2,8.99,429,English,0,0,1,,Kemmerer,400-500,£8-£10,9
55,A Curse So Dark and Lonely,Brigid Kemmerer,2019,9781408884614,Bloomsbury,Bloomsbury,Paperback,Young Adult,"Ya, Fantasy, Romance",Fiction,Cursebreaker,1,7.99,501,English,0,0,1,,Kemmerer,500-600,£8-£10,9
56,A Heart So Fierce and Broken,Brigid Kemmerer,2020,9781408885086,Bloomsbury,Bloomsbury,Paperback,Young Adult,"Ya, Fantasy, Romance",Fiction,Cursebreaker,2,7.99,450,English,0,0,1,,Kemmerer,400-500,£8-£10,9
57,A Vow So Bold and Deadly,Brigid Kemmerer,2021,9781526613820,Bloomsbury,Bloomsbury,Paperback,Young Adult,"Ya, Fantasy, Romance",Fiction,Cursebreaker,2,7.99,405,English,0,0,1,,Kemmerer,400-500,£8-£10,9
58,Hood Feminism,Mikki Kendall,2020,9781526622792,Bloomsbury,Bloomsbury,Proof,Feminist Theory,Feminism,Non-Fiction,,,,267,English,0,0,1,,Kendall,200-300,,18
59,The End of the World is a Cul De Sac,Louise Kennedy,2021,9781526623270,Bloomsbury,Bloomsbury,Hardback,Short Stories,Short Stories,Fiction,,,14.99,286,English,1,0,1,,Kennedy,200-300,£12+,1
60,Trespasses,Louise Kennedy,2022,9781526623324,Bloomsbury,Bloomsbury,Hardback,Modern & Contemporary Fiction,Modern And Contemporary Fiction,Fiction,,,14.99,311,English,1,0,1,,Kennedy,300-400,£12+,0
61,Black Wolf,Kathleen Kent,2023,9781804547885,Bloomsbury,Head Of Zeus,Proof,Historical Fiction,"Historical Fiction, Cold War",Fiction,,,,385,English,0,0,1,,Kent,300-400,,11
62,Kingdom of Ash,Sarah J. Maas,2019,9781547604388,Bloomsbury,Bloomsbury,Miniature Edition,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne Of Glass,7,12.99,980,English,1,1,1,,Maas,600+,£12+,7
63,Tower of Dawn,Sarah J. Maas,2019,9781547604371,Bloomsbury,Bloomsbury,Miniature Edition,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne Of Glass,6,12.99,660,English,1,1,1,,Maas,600+,£12+,7
64,Empire of Storms,Sarah J. Maas,2019,9781547604364,Bloomsbury,Bloomsbury,Miniature Edition,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne Of Glass,5,12.99,689,English,1,1,1,,Maas,600+,£12+,7
65,Queen of Shadows,Sarah J. Maas,2019,9781547604357,Bloomsbury,Bloomsbury,Miniature Edition,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne Of Glass,4,12.99,645,English,1,1,1,,Maas,600+,£12+,7
66,Heir of Fire,Sarah J. Maas,2019,9781547604340,Bloomsbury,Bloomsbury,Miniature Edition,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne Of Glass,3,12.99,562,English,1,1,1,,Maas,500-600,£12+,7
67,Crown of Midnight,Sarah J. Maas,2019,9781547604333,Bloomsbury,Bloomsbury,Miniature Edition,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne Of Glass,2,12.99,418,English,1,1,1,,Maas,400-500,£12+,7
68,Throne of Glass,Sarah J. Maas,2019,9781547604319,Bloomsbury,Bloomsbury,Miniature Edition,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne Of Glass,1,12.99,404,English,1,1,1,,Maas,400-500,£12+,7
69,The Assassin's Blade,Sarah J. Maas,2019,9781547604326,Bloomsbury,Bloomsbury,Miniature Edition,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne Of Glass,0,12.99,435,English,1,1,1,,Maas,400-500,£12+,7
70,House of Sky and Breath,Sarah J. Maas,2022,9781408884423,Bloomsbury,Bloomsbury,Butchered Hardback,Fantasy,"Fantasy, Romance, Modern & Contemporary Fiction",Fiction,Crescent City,2,16.99,805,English,1,1,1,,Maas,600+,£12+,7
71,Throne of Glass,Sarah J. Maas,2012,9781408832332,Bloomsbury,Bloomsbury,Paperback,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne Of Glass,1,8.99,403,English,1,1,2,,Maas,400-500,£8-£10,7
72,Tower of Dawn,Sarah J. Maas,2017,9781408887974,Bloomsbury,Bloomsbury,Paperback,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne Of Glass,6,8.99,660,English,1,1,1,,Maas,600+,£8-£10,7
73,Kingdom of Ash,Sarah J. Maas,2018,9781408872918,Bloomsbury,Bloomsbury,Paperback,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne Of Glass,7,8.99,984,English,1,1,1,,Maas,600+,£8-£10,7
74,Crown of Midnight,Sarah J. Maas,2013,9781408834947,Bloomsbury,Bloomsbury,Paperback,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne Of Glass,2,8.99,422,English,1,1,1,,Maas,400-500,£8-£10,7
75,Heir Of Fire,Sarah J. Maas,2014,9781408839126,Bloomsbury,Bloomsbury,Paperback,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne Of Glass,3,8.99,561,English,1,1,1,,Maas,500-600,£8-£10,7
76,Throne of Glass,Sarah J. Maas,2018,9781526605283,Bloomsbury,Bloomsbury,Hardback,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne Of Glass,1,,421,English,1,1,1,,Maas,400-500,,7
77,Life of Pi,Yann Martel,2003,9781841953922,Canongate,,Paperback,Modern & Contemporary Fiction,Modern & Contempary Fiction,Fiction,,,7.99,319,English,1,0,1,,Martel,300-400,£8-£10,0
78,All i said was true,Imran Mahmood,2022,9781526647535,Bloomsbury,Raven Books,Trade Paperback,Crime & Mystery,Crime And Mystery,Fiction,,,,303,English,1,0,1,,Mahmood,300-400,,2
79,A Game of Thrones,George R.R Martin,2011,9780007448036,Harper Collins,Harper Voyager,Paperback,Fantasy,Fantasy,Fiction,A Song Of Ice And Fire,1,8.99,780,English,0,1,2,,Martin,600+,£8-£10,7
80,A Dance with dragons 1: Dreams and Dust,George R.R Martin,2012,9780007466061,Harper Collins,Harper Voyager,Paperback,Fantasy,Fantasy,Fiction,A Song Of Ice And Fire,5.1,9.99,684,English,0,0,2,,Martin,600+,£10-£12,7
81,Couping Rydberg atoms to superconducting microwave circuits,Alexandre Morgan,2019,,,,,Academic,Phd,Non-Fiction,,,,142,English,0,0,1,,Morgan,100-200,,14
82,Critical,Matt Morgan,2019,9781471173066,Simon & Schuster,,Paperback,Memoirs,"Autobiography, True Story, Science, Medicine, Technology",Non-Fiction,,,9.99,260,English,0,0,1,,Morgan,200-300,£10-£12,19
83,How to be a woman,Caitlin Moran,2011,9780091940744,Penguin Random House,Ebury Press,Paperback,Memoirs,"Biography, True Story, Politics, Humour, Society And Culture",Non-Fiction,,,8.99,312,English,0,0,1,,Moran,300-400,£8-£10,19
84,Luka Modric,Luka Modric,2020,9781472982384,Bloomsbury,Bloomsbury Sport,Hardback,Memoirs,"Sport, Autobiography, Football",Non-Fiction,,,18.99,289,English,0,0,1,,Modric,200-300,£12+,19
85,Ordinary Monsters,J.M. Miro,2022,9781526650047,Bloomsbury,Na,Trade Paperback,Fantasy,"Sci-Fi, Fantasy, Horror, Modern And Contempary Fiction",Fiction,The Talents Series,1,,656,English,1,0,1,,Miro,600+,,7
86,Girl one,Sara Flannery Murphy,2021,9781526637420,Bloomsbury,Raven Books,Trade Paperback,Modern & Contemporary Fiction,Modern And Contempary Fiction,Fiction,,,,353,English,0,0,1,,Murphy,300-400,,0
87,Still me ,Jojo Moyes,2019,9781405924207,Penguin Random House,Penguin Books,Paperback,Romance,Modern And Contempary Fiction,Fiction,,,8.99,469,English,0,0,1,,Moyes,400-500,£8-£10,3
88,Girl one,Sara Flannery Murphy,2021,9781526637475,Penguin Random House,Penguin Books,Paperback,Modern & Contemporary Fiction,Modern And Contempary Fiction,Fiction,,,8.99,356,English,0,0,2,,Murphy,300-400,£8-£10,0
89,The Offing,Benjamin Myers,2020,9781526611307,Bloomsbury,,Paperback,Modern & Contemporary Fiction,"Modern And Comtempary Fiction, Historical Fiction",Fiction,,,8.99,260,English,0,0,1,,Myers,200-300,£8-£10,0
90,Cuddy,Benjamin Myers,2023,9781526631480,Bloomsbury,,Proof,Modern & Contemporary Fiction,Modern And Contempary Fiction,Fiction,,,,403,English,0,0,1,,Myers,400-500,,0
91,How high we go in the dark,Sequoia Nagamatsu,2022,9781526637192,Bloomsbury,,Proof,Science Fiction,"Scifi, Modern And Contempary Fiction",Fiction,,,,287,English,1,1,1,,Nagamatsu,200-300,,8
92,The railway children,Edith Nesbit,1995,9780140621624,Penguin Random House,,Paperback,Classic Fiction,Childrens Classic Fiction,Fiction,,,,212,English,0,0,1,,Nesbit,200-300,,4
93,The knife of never letting go,Patrick Ness,2014,9781406357981,Walker Books,,Paperback,Young Adult,"Teen And Young Adult, Scifi",Fiction,Chaos Walking,1,7.99,512,English,1,0,1,,Ness,500-600,£8-£10,9
94,The ask and the answer,Patrick Ness,2011,9781406339864,Walker Books,,Paperback,Young Adult,"Teen And Young Adult, Scifi",Fiction,Chaos Walking,2,7.99,516,English,1,0,1,,Ness,500-600,£8-£10,9
95,Monsters of Men,Patrick Ness,2011,9781406339871,Walker Books,,Paperback,Young Adult,"Teen And Young Adult, Scifi",Fiction,Chaos Walking,3,7.99,603,English,1,0,1,,Ness,600+,£8-£10,9
96,Becoming,Michelle Obama,2018,9780241334140,Penguin Random House,Viking,Hardback,Memoirs,"Memoir, History, Politics, Biography",Non-Fiction,,,25.0,426,English,0,0,1,,Obama,400-500,£12+,19
97,Wuthering Heights,Emily Bronte,2000,9781853260018,Wordsworth,,Paperback,Classic Fiction,Classic Fiction,Fiction,,,,248,English,1,0,2,,Bronte,200-300,,4
98,Humankind ,Rutger Bregman,2021,9781408898956,Bloomsbury,,Paperback,Philosophy,"Ethics And Moral Philosophy, Pyschology",Non-Fiction,,,9.99,465,English,0,0,1,,Bregman,400-500,£10-£12,16
99,Songs in ursa major,Emma Brodie,2022,9780008435301,Harper Collins,,Paperback,Romance,"Romance, Modern And Contempary Fiction",Fiction,,,8.99,392,English,1,0,1,,Brodie,300-400,£8-£10,3
100,The DaVinci Code,Dan Brown,2004,9780552149518,Corgi,,Paperback,Crime & Mystery,Thriller,Fiction,Robert Langdon,2,6.99,604,English,0,0,1,,Brown,600+,<£8,2
101,A short history of nearly everything,Bill Bryson,2004,9780552997041,Black Swan,,Paperback,Popular Science,Popular Science,Non-Fiction,,,8.99,686,English,0,0,1,,Bryson,600+,£8-£10,13
102,The Five sorrowful mysteries of Andy africa,Stephen Buoro,2023,9781526638021,Bloomsbury,,Proof,Modern & Contemporary Fiction,Modern And Contempary Fiction,Fiction,,,,311,English,0,0,1,,Buoro,300-400,,0
103,medusa,Jessie Burton,2021,9781526646613,Bloomsbury,Bloomsbury Ya,Proof,Young Adult,"Fantasy, Ya",Fiction,,na ,,207,English,1,1,1,,Burton,200-300,,9
104,Prosecco drinking games,Abbie Cammidge,2018,9781911026426,Ryland Peters And Small,Dog And Bone Books,Hardback,Gifts,"Parties, Etiquette And Entertaining",Non-Fiction,,,7.99,64,English,0,0,1,,Cammidge,<100,£8-£10,20
105,Alices adventures in wonderland,Lewis Carroll,1899,,Pan Macmillan,,Hardback,Classic Fiction,Classic Kids Fiction,Fiction,Alice In Wonderland Collection,1,,122,English,0,0,1,,Carroll,100-200,,4
106,Queenie,Candice Carty-Williams,2020,9781409180074,Hachette,Orion,Paperback,Modern & Contemporary Fiction,"Modern And Contempary Fiction, Romance",Fiction,,,8.99,391,English,1,0,1,,Carty-Williams,300-400,£8-£10,0
107,Iron Annie,Luke Cassidy,2022,9781526636003,Bloomsbury,,Paperback,Modern & Contemporary Fiction,"Modern And Comtempary Fiction, Thriller",Fiction,,,8.99,292,English,0,0,1,,Cassidy,200-300,£8-£10,0
108,Small Pleasures,Clare Chambers,2021,9781474613903,Hachette,Orion,Paperback,Modern & Contemporary Fiction,"Modern And Contempary Fiction, Romance",Fiction,,,8.99,350,English,0,0,1,,Chambers,300-400,£8-£10,0
109,Outraged,Ashley Dotty Charles,2021,9781526625151,Bloomsbury,Bloomsbury Circus,Proof,Sociology,"Sociology, Politics And Goverment",Non-Fiction,,,,139,English,0,0,1,,Charles,100-200,,15
110,Dont swipe right ,L.M.Chilton,2023,9781837930258,Bloomsbury,Head Of Zeus,Proof,Crime & Mystery,"Thriller, Romance, Crime And Mystery",Fiction,,,,290,English,0,0,1,,L.M.Chilton,200-300,,2
111,Poirot in the orient omnibus,Agatha Christie,2001,9780007120727,Harper Collins,,Paperback,Classic Fiction,Classic Crime,Fiction,,,9.99,578,English,0,0,1,,Christie,500-600,£10-£12,4
112,Piranesi,Susanna Clarke,2020,9781526623263,Bloomsbury,,Proof,Modern & Contemporary Fiction,"Modern And Contempary Fiction, Fantasy",Fiction,,,,245,English,1,0,1,,Clarke,200-300,,0
113,The Flower Girls,Alice Clark-Platts,2019,9781526607010,Bloomsbury,Raven Books,Proof,Crime & Mystery,"Crime And Mystery, Thriller",Fiction,,,,329,English,0,0,1,,Clark-Platts,300-400,,2
114,The Cove,Alice Clark-Platts,2022,9781526604286,Bloomsbury,Raven Books,Proof,Crime & Mystery,"Crime And Mystery, Thriller",Fiction,,,,260,English,0,0,1,,Clark-Platts,200-300,,2
115,The Binding,Bridget Collins,2019,9780008272142,Harper Collins,Borough Press,Paperback,Fantasy,"Modern And Contempary Fiction, Fantasy, Romance",Fiction,,,8.99,438,English,1,1,1,,Collins,400-500,£8-£10,7
116,Cult Classic,Sloane Crosley,2022,9781526636430,Bloomsbury,Bloomsbury Circus,Trade Paperback,Modern & Contemporary Fiction,"Modern And Contempary Fiction, Romance",Fiction,,,13.99,282,English,1,0,1,,Crosley,200-300,£12+,0
117,One,Sarah Crossan,2015,9781408863114,Bloomsbury,,Proof,Childrens & Teenage,Childrens Fiction,Fiction,,,,432,English,1,0,1,,Crossan,400-500,,10
118,Klara and the sun,Kazou Ishiguro,2021,9780571364879,Faber & Faber,,Hardback,Modern & Contemporary Fiction,Modern And Contempary Fiction,Fiction,,,20.0,307,English,1,0,1,,Ishiguro,300-400,£12+,0
119,You me everything,Catherine Isaac,2018,9781471149146,Simon & Schuster,,Paperback,Romance,"Modern And Contempary Fiction, Romance",Fiction,,,7.99,421,English,0,0,1,,Isaac,400-500,£8-£10,3
120,They're going to love you,Meg Howrey,2022,9781526655820,Bloomsbury,,Hardback,Modern & Contemporary Fiction,Modern And Contempary Fiction,Fiction,,,16.99,274,English,1,0,1,,Howrey,200-300,£12+,0
121,Hungry Ghosts,Kevin Jared Hosein,2023,9781526644497,Bloomsbury,,Proof,Modern & Contemporary Fiction,"Modern And Contempary Fiction, Historical Fiction",Fiction,,,,327,English,1,0,3,,Hosein,300-400,,0
122,It ends with us,Colleen Hoover,2016,9781471156267,Simon & Schuster,,Paperback,Romance,Romance,Fiction,,,8.99,373,English,1,0,1,,Hoover,300-400,£8-£10,3
123,The man who loved only numbers ,Paul Hoffman,1998,9781857028119,Fourth Estate,,Hardback,Popular Science,"History Of Mathematics, Science, Technology, Biography",Non-Fiction,,,12.99,302,English,0,0,1,,Hoffman,300-400,£12+,13
124,Dune,Frank Herbert,2021,9781473233959,Hachette,Orion,Hardback,Science Fiction,Science Fiction,Fiction,The Dune Chronicles,1,25.0,609,English,0,0,1,,Herbert,600+,£12+,8
